Version:
Wed Sep 23 12:18:16 EDT 2015
Table: M31 Hectospec Catalog of Old Clusters
Entries are separated by TABS.
Ap is the photometry aperture in arcsecs.
Vel_source is either HS (Hectospec), HX (from various Huxor et al.
    papers), B (Barmby), P (Perrett et al).
Mag_source is either L (LGS images, measured in Caldwell et al 2009),
     B (Barmby), H (from various Huxor et al. papers).
EBV_source reddening estimate, from Caldwell 2011 (H),  Barmby (B), or the median (blank)
Age is in Gyr. Clusters where an age determination was difficult are given "(14)". Blank age values mean that the cluster is obviously old, but no
measurement has been made. Typically that is the case for objects without
Hectospectra.  Masses are in solar units.  
XY are in kpc assuming distance is 770kpc, X is positive at higher RA.
[Fe/H] values are either from integrated light spectroscopic measurements ([Fe/H]_source=HS, 
see Caldwell 2011), or from CMDs (Lit, references in Caldwell 2011).
Table is not up-to-date for the outer clusters.

See Caldwell et al. "Star Clusters in M31. II. Old Cluster Metallicities and Ages from Hectospec Data" 
(http://adsabs.harvard.edu/abs/2011AJ....141...61C) for details.

object    	RA           	DEC          	X     	Y      	VELOCITY	CZERR 	E(B-V)	V    	V_err	Ap    	Vel_source	Mag_source	Age 	[Fe/H]	[Fe/H]_err	[Fe/H]_source	Log_Mass	EBV_source	COMMENTS                                              
B060-G121 	   0:41:57.01	   41:05:14.5	 -3.15	   0.09	  -533.2	  15.5	  0.13	16.68	 0.08	 7.74 	HS        	L         	(14)	 -1.77	      0.15	HS           	    5.49	H         	                                                      
B061-G122 	   0:42:00.14	   41:29:35.7	  1.25	   3.31	  -275.2	   5.4	  0.49	16.59	 0.10	11.61 	HS        	L         	(14)	 -0.65	      0.12	HS           	    5.97	H         	                                                      
B063-G124 	   0:42:00.88	   41:29:09.5	  1.19	   3.22	  -301.6	   7.5	  0.49	15.73	 0.05	 7.74 	HS        	L         	13.8	 -0.83	      0.11	HS           	    6.32	H         	                                                      
B064-G125 	   0:42:01.93	   41:11:07.5	 -1.98	   0.72	  -302.4	  10.5	  0.17	16.30	 0.07	 7.74 	HS        	L         	(14)	 -1.34	      0.12	HS           	    5.69	H         	                                                      
B065-G126 	   0:42:01.93	   40:40:13.1	 -7.47	  -3.50	  -417.3	  12.3	  0.17	16.83	 0.10	11.61 	HS        	L         	(14)	 -0.90	      0.18	HS           	    5.48	H         	                                                      
B344-G127 	   0:42:02.97	   41:52:02.2	  5.31	   6.28	  -240.6	   6.4	  0.13	15.95	     	      	HS        	B         	(14)	 -0.96	      0.11	HS           	    5.78	H         	                                                      
B067-G129 	   0:42:03.19	   41:04:23.7	 -3.15	  -0.24	  -356.8	  15.4	  0.08	17.20	 0.08	 7.74 	HS        	L         	(14)	 -1.38	      0.14	HS           	    5.22	H         	                                                      
B068-G130 	   0:42:03.21	   40:58:50.2	 -4.13	  -1.00	  -319.2	   6.5	  0.45	16.24	 0.10	11.61 	HS        	L         	(14)	 -0.25	      0.12	HS           	    6.06	H         	g                                                     
B257-V219 	   0:42:03.28	   40:58:13.9	 -4.24	  -1.08	  -476.4	   5.7	  0.66	17.76	 0.07	 7.74 	HS        	L         	(14)	 -0.23	      0.13	HS           	    5.72	H         	red                                                   
B461-G131 	   0:42:04.24	   42:03:26.6	  7.37	   7.80	  -296.5	   7.5	  0.1 	17.52	     	      	HS        	B         	13.7	 -0.61	      0.14	HS           	    5.12	H         	                                                      
B041D     	   0:42:04.72	   41:16:47.3	 -0.91	   1.41	  -208.3	  14.3	  0.64	18.23	 0.13	 5.16 	HS        	L         	(14)	 -1.76	      0.40	HS           	    5.50	H         	bulge, red                                            
B070-G133 	   0:42:06.91	   41:07:56.3	 -2.42	   0.12	  -275.8	  22.3	  0.2 	16.74	 0.05	 5.16 	HS        	L         	(14)	 -1.94	      0.17	HS           	    5.56	H         	                                                      
B071      	   0:42:07.13	   41:12:12.0	 -1.66	   0.70	  -550.7	   7.8	  0.24	17.94	 0.06	 3.87 	HS        	L         	6.9 	 -0.16	      0.17	HS           	    5.13	H         	bulge                                                 
B073-G134 	   0:42:07.33	   40:59:21.3	 -3.93	  -1.06	  -504.0	   9.9	  0.13	15.97	 0.09	11.61 	HS        	L         	12.6	 -0.58	      0.12	HS           	    5.78	H         	                                                      
B072      	   0:42:07.44	   41:22:47.6	  0.23	   2.14	   -85.7	   7.1	  0.78	17.84	 0.17	 2.58 	HS        	L         	12.0	 -0.70	      0.12	HS           	    5.83	H         	red                                                   
B258      	   0:42:07.80	   41:09:26.0	 -2.14	   0.30	  -336.3	  13.1	  0.13	18.47	 0.10	 3.87 	HS        	L         	    	      	          	             	        	          	                                                      
B074-G135 	   0:42:08.04	   41:43:21.6	  3.90	   4.93	  -439.9	   9.4	  0.16	16.66	     	      	HS        	B         	(14)	 -1.46	      0.12	HS           	    5.54	H         	                                                      
B075-G136 	   0:42:08.83	   41:20:21.3	 -0.17	   1.76	  -168.6	  11.2	  0.32	17.56	 0.21	 5.16 	HS        	L         	(14)	 -1.28	      0.16	HS           	    5.38	H         	                                                      
MITA140   	   0:42:09.51	   41:17:45.6	 -0.61	   1.38	  -319.4	  11.5	  0.86	17.00	 0.04	 5.16 	HS        	L         	(14)	 -0.18	      0.15	HS           	    6.27	H         	                                                      
B045D     	   0:42:09.87	   41:21:14.5	  0.02	   1.84	  -305.9	  12.6	  0.41	18.97	 0.09	 3.87 	HS        	L         	(14)	 -0.26	      0.27	HS           	    4.92	H         	                                                      
B076-G138 	   0:42:10.24	   41:05:22.0	 -2.79	  -0.34	  -537.0	  13.7	  0.17	16.67	 0.09	 7.74 	HS        	L         	(14)	 -1.26	      0.13	HS           	    5.55	H         	                                                      
B077-G139 	   0:42:11.14	   41:07:33.9	 -2.38	  -0.07	  -562.8	   7.0	  0.46	17.25	 0.09	 7.74 	HS        	L         	(14)	 -0.79	      0.12	HS           	    5.67	H         	weak_e                                                
B078-G140 	   0:42:12.17	   41:17:58.9	 -0.50	   1.32	  -259.7	  15.8	  0.43	17.69	 0.11	 5.16 	HS        	L         	(14)	 -1.00	      0.20	HS           	    5.46	B         	bulge                                                 
B080-G141 	   0:42:12.40	   41:19:00.6	 -0.31	   1.45	  -255.0	  21.4	  0.72	17.67	 0.27	 3.87 	HS        	L         	(14)	 -1.45	      0.22	HS           	    5.83	H         	bulge, red                                            
B345-G143 	   0:42:14.12	   40:17:36.5	-11.17	  -7.00	  -368.4	  12.5	  0.19	16.52	     	      	HS        	B         	(14)	 -1.47	      0.13	HS           	    5.63	H         	                                                      
B462      	   0:42:14.72	   42:01:36.7	  7.31	   7.20	  -214.3	  23.1	  0.13	18.06	     	      	HS        	B         	(14)	 -2.78	      0.35	HS           	    4.94	H         	                                                      
B082-G144 	   0:42:15.84	   41:01:14.4	 -3.38	  -1.09	  -370.5	   8.5	  0.94	16.13	 0.29	 2.58 	HS        	L         	10.3	 -0.74	      0.11	HS           	    6.72	H         	red                                                   
B083-G146 	   0:42:16.44	   41:45:20.7	  4.46	   4.92	  -337.3	   5.7	  0.13	17.09	     	      	HS        	B         	(14)	 -1.13	      0.12	HS           	    5.33	H         	                                                      
B084      	   0:42:17.45	   41:18:55.7	 -0.20	   1.27	  -325.8	  10.5	  0.62	18.00	 0.09	 5.16 	HS        	L         	(14)	 -1.11	      0.18	HS           	    5.57	H         	bulge                                                 
B085-G147 	   0:42:18.24	   40:39:57.2	 -7.10	  -4.08	  -425.4	  12.2	  0.16	16.84	 0.07	 7.74 	HS        	L         	(14)	 -1.70	      0.16	HS           	    5.47	H         	                                                      
B086-G148 	   0:42:18.65	   41:14:02.1	 -1.04	   0.56	  -189.0	  18.7	  0.13	15.09	 0.08	 7.74 	HS        	L         	(14)	 -1.82	      0.16	HS           	    6.13	H         	bulge,weak_e from chelle                              
B087      	   0:42:19.81	   41:38:16.2	  3.29	   3.84	  -369.2	   8.8	  0.24	18.57	 0.03	 5.16 	HS        	L         	(14)	 -0.99	      0.17	HS           	    4.87	H         	near star                                             
B088-G150 	   0:42:21.07	   41:32:14.2	  2.26	   2.97	  -489.9	  12.0	  0.53	15.40	 0.11	11.61 	HS        	L         	(14)	 -1.82	      0.13	HS           	    6.50	H         	                                                      
B090      	   0:42:21.08	   41:02:57.5	 -2.94	  -1.03	  -399.9	   7.2	  0.15	18.44	 0.07	 5.16 	HS        	L         	(14)	 -0.80	      0.16	HS           	    4.81	H         	weak_e                                                
B092-G152 	   0:42:22.38	   41:08:08.7	 -1.99	  -0.37	  -433.7	  11.5	  0.11	16.89	 0.03	 7.74 	HS        	L         	(14)	 -1.02	      0.13	HS           	    5.38	H         	                                                      
B347-G154 	   0:42:22.89	   41:54:27.5	  6.25	   5.96	  -266.4	  26.4	  0.02	16.50	     	      	HS        	B         	(14)	 -1.98	      0.25	HS           	    5.43	H         	                                                      
B348-G153 	   0:42:22.92	   41:52:28.4	  5.89	   5.68	  -189.5	   7.3	  0.16	16.79	     	      	HS        	B         	(14)	 -0.76	      0.12	HS           	    5.48	H         	                                                      
B093-G155 	   0:42:23.17	   41:21:43.5	  0.44	   1.47	  -456.7	  22.3	  0.39	16.86	 0.17	 5.16 	HS        	L         	(14)	 -1.22	      0.15	HS           	    5.74	H         	bulge                                                 
H17       	   0:42:23.68	   37:14:35.0	-43.47	 -32.43	  -246  	  10  	  0.13	17.37	     	      	HX        	H         	(14)	      	          	             	    5.22	          	                                                      
B094-G156 	   0:42:25.06	   40:57:17.7	 -3.84	  -1.94	  -564.1	   6.1	  0.22	15.61	 0.09	 7.74 	HS        	L         	(14)	 -0.40	      0.11	HS           	    6.03	H         	                                                      
B095-G157 	   0:42:25.80	   41:05:36.3	 -2.35	  -0.83	  -111.2	  10.1	  0.46	16.20	 0.04	 7.74 	HS        	L         	(14)	 -1.39	      0.12	HS           	    6.09	H         	                                                      
B096-G158 	   0:42:26.1 	   41:19:14.8	  0.08	   1.03	  -313.4	   8.2	  0.63	16.62	 0.07	 5.16 	HS        	L         	(14)	 -0.28	      0.13	HS           	    6.14	H         	bulge,red                                             
B098      	   0:42:27.40	   40:59:36.1	 -3.37	  -1.70	  -308.6	   9.2	  0.19	16.25	 0.04	 5.16 	HS        	L         	8.7 	 -0.79	      0.12	HS           	    5.74	H         	                                                      
B097-G159 	   0:42:27.48	   41:25:32.1	  1.23	   1.84	  -272.1	   8.1	  0.34	16.79	 0.05	 7.74 	HS        	L         	(14)	 -1.01	      0.12	HS           	    5.71	H         	                                                      
B099-G161 	   0:42:27.59	   41:10:02.7	 -1.51	  -0.28	  -108.1	  10.0	  0.16	16.83	 0.08	 5.16 	HS        	L         	(14)	 -1.31	      0.13	HS           	    5.47	H         	bulge                                                 
B350-G162 	   0:42:28.44	   40:24:51.1	 -9.51	  -6.50	  -423.9	  12.3	  0.12	16.74	     	      	HS        	B         	(14)	 -1.43	      0.13	HS           	    5.46	H         	                                                      
B100-G163 	   0:42:28.96	   40:49:56.0	 -5.05	  -3.08	  -428.4	   8.0	  0.15	17.68	 0.06	 7.74 	HS        	L         	(14)	 -0.93	      0.14	HS           	    5.12	H         	                                                      
B101-G164 	   0:42:29.04	   41:08:15.6	 -1.79	  -0.57	  -352.0	   9.0	  0.13	16.91	 0.03	 5.16 	HS        	L         	(14)	 -1.02	      0.13	HS           	    5.40	H         	bulge                                                 
B103-G165 	   0:42:29.75	   41:17:57.5	 -0.05	   0.73	  -366.5	   6.6	  0.34	15.15	 0.03	 7.74 	HS        	L         	13.3	 -0.47	      0.11	HS           	    6.36	H         	bulge                                                 
B104-NB5  	   0:42:29.94	   41:17:25.7	 -0.14	   0.65	    45.6	  21.9	  0.2 	17.51	 0.09	 5.16 	HS        	L         	(14)	 -1.39	      0.25	HS           	    5.25	H         	bulge,broad weak_e from chelle                        
B105-G166 	   0:42:30.75	   41:30:27.3	  2.19	   2.41	  -240.2	   6.6	  0.16	17.33	 0.12	 5.16 	HS        	L         	(14)	 -1.01	      0.12	HS           	    5.27	H         	other object in fiber                                 
B106-G168 	   0:42:31.04	   41:12:18.3	 -1.02	  -0.09	   -62.6	   7.2	  0.22	16.37	 0.18	 3.87 	HS        	L         	13.2	 -0.63	      0.12	HS           	    5.73	H         	bulge                                                 
B108-G167 	   0:42:31.19	   41:08:51.3	 -1.63	  -0.56	  -548.0	  11.2	  0.22	17.30	 0.08	 7.74 	HS        	L         	10.4	  0.02	      0.20	HS           	    5.36	H         	bulge                                                 
B107-G169 	   0:42:31.27	   41:19:38.9	  0.28	   0.91	  -332.4	   7.3	  0.22	15.79	 0.08	 5.16 	HS        	L         	(14)	 -0.97	      0.11	HS           	    5.96	H         	bulge                                                 
B109-G170 	   0:42:32.16	   41:10:27.9	 -1.32	  -0.37	  -612.1	   7.7	  0.2 	16.34	 0.04	 7.74 	HS        	L         	9.0 	 -0.24	      0.14	HS           	    5.72	H         	bulge                                                 
B110-G172 	   0:42:33.10	   41:03:28.4	 -2.54	  -1.36	  -239.4	   9.5	  0.12	15.17	 0.07	 5.16 	HS        	L         	8.6 	 -0.66	      0.11	HS           	    6.08	H         	                                                      
NB16      	   0:42:33.12	   41:20:16.8	  0.44	   0.94	   -95.1	  36.5	  0.68	18.47	 0.13	 2.58 	HS        	L         	(14)	 -1.39	      0.49	HS           	    5.46	H         	bulge                                                 
B111-G173 	   0:42:33.17	   41:00:26.5	 -3.07	  -1.78	  -402.5	  15.3	  0.15	16.66	 0.04	 7.74 	HS        	L         	(14)	 -1.29	      0.12	HS           	    5.53	H         	                                                      
B260      	   0:42:33.19	   41:31:24.8	  2.42	   2.46	  -189.8	  16.9	  1   	18.56	 0.16	 7.74 	HS        	L         	(14)	 -0.57	      0.29	HS           	    5.82	H         	weak_e, red                                           
B112-G174 	   0:42:33.26	   41:17:42.4	 -0.01	   0.58	  -272.6	  11.0	  0.13	16.58	 0.16	 3.87 	HS        	L         	(14)	  0.28	      0.13	HS           	    5.53	          	bulge, red, cont. shape may be off                    
B114-G175 	   0:42:34.30	   41:12:44.9	 -0.86	  -0.13	  -244.5	  29.5	  0.19	17.04	 0.09	 5.16 	HS        	L         	(14)	 -2.22	      0.39	HS           	    5.42	H         	bulge                                                 
B117-G176 	   0:42:34.38	   40:57:09.3	 -3.63	  -2.27	  -527.8	  19.7	  0.08	16.88	 0.23	 2.58 	HS        	L         	(14)	 -1.72	      0.18	HS           	    5.35	H         	                                                      
NB17-AU014	   0:42:34.40	   41:17:31.4	 -0.01	   0.52	        	      	  0.13	19.45	 0.28	 2.58 	          	L         	(14)	      	          	             	    4.39	          	bulge, weak_e                                         
B115-G177 	   0:42:34.41	   41:14:02.0	 -0.63	   0.04	  -593.4	  10.9	  0.18	15.97	 0.04	 5.16 	HS        	L         	(14)	  0.06	      0.12	HS           	    5.84	H         	bulge, weak_e                                         
B116-G178 	   0:42:34.54	   41:32:51.4	  2.71	   2.61	  -339.3	   7.4	  0.72	16.83	 0.06	 5.16 	HS        	L         	(14)	 -0.64	      0.12	HS           	    6.16	H         	red                                                   
B064D-NB6 	   0:42:35.54	   41:14:34.3	 -0.51	   0.07	    21.5	  14.9	  0.14	16.41	 0.07	 5.16 	HS        	L         	(14)	 -1.15	      0.16	HS           	    5.61	H         	bulge                                                 
B119-NB14 	   0:42:36.11	   41:17:35.4	  0.04	   0.47	  -370.4	  14.6	  0.21	17.47	 0.09	 3.87 	HS        	L         	13.6	 -0.81	      0.26	HS           	    5.28	H         	bulge,weak_e from chelle                              
NB21-AU005	   0:42:37.98	   41:15:58.9	 -0.19	   0.19	  -632.4	  29.7	  0.02	18.38	 0.10	 2.58 	HS        	L         	(14)	 -1.13	      0.30	HS           	    4.68	H         	bulge, weak_e from chelle, diff vel                   
B351-G179 	   0:42:37.98	   42:11:30.7	  9.65	   7.79	  -325.1	  21.8	  0.13	17.55	     	      	HS        	B         	(14)	 -1.49	      0.62	HS           	    5.14	H         	                                                      
B352-G180 	   0:42:38.19	   42:02:13.1	  8.01	   6.51	  -291.4	  10.8	  0.17	16.53	     	      	HS        	B         	(14)	 -1.52	      0.16	HS           	    5.60	H         	                                                      
B068D     	   0:42:39.9 	   41:20:39.9	  0.69	   0.76	  -202.2	  11.5	  0.08	18.66	 0.14	 3.87 	HS        	L         	8.7 	 -0.46	      0.31	HS           	    4.64	H         	bulge, compact cluster or not?                        
B122-G181 	   0:42:40.11	   41:33:46.8	  3.02	   2.55	  -436.2	  11.3	  0.79	17.65	 0.03	 7.74 	HS        	L         	(14)	 -1.16	      0.15	HS           	    5.92	H         	red                                                   
B123-G182 	   0:42:40.66	   41:10:33.4	 -1.09	  -0.65	  -368.2	  12.2	  0.2 	17.38	 0.08	 5.16 	HS        	L         	13.0	 -0.66	      0.20	HS           	    5.30	H         	bulge                                                 
B124-NB10 	   0:42:41.44	   41:15:23.7	 -0.21	  -0.01	   -25.5	  10.2	  0.17	14.73	 0.07	 5.16 	HS        	L         	10.6	 -0.50	      0.12	HS           	    6.32	H         	bulge                                                 
B125-G183 	   0:42:42.27	   41:05:31.0	 -1.94	  -1.39	  -656.8	  11.5	  0.11	16.51	 0.11	 7.74 	HS        	L         	(14)	 -1.46	      0.12	HS           	    5.54	H         	                                                      
DAO55     	   0:42:42.5 	   40:29:27.0	 -8.33	  -6.34	  -447.9	  28.1	  0.14	18.68	     	      	HS        	B         	(14)	 -0.84	      0.47	HS           	    4.71	H         	                                                      
B126-G184 	   0:42:43.70	   41:12:42.8	 -0.63	  -0.45	  -188.4	  16.2	  0.13	17.13	 0.04	 5.16 	HS        	L         	(14)	 -1.47	      0.19	HS           	    5.31	H         	bulge                                                 
B127-G185 	   0:42:44.50	   41:14:41.5	 -0.25	  -0.21	  -528.5	   6.7	  0.2 	14.42	 0.08	 7.74 	HS        	L         	9.5 	 -0.69	      0.11	HS           	    6.48	H         	bulge, weak_e from chelle, has diff vel               
NB89      	   0:42:44.78	   41:14:44.2	 -0.24	  -0.21	  -343.9	  13.9	  0.13	17.51	 0.20	 3.87 	HS        	L         	(14)	      	          	             	    5.16	          	weak_e ok ulge, keep for now                          
B072D     	   0:42:45.79	   41:27:27.0	  2.04	   1.50	  -262.5	  11.8	  0.16	19.06	 0.08	 3.87 	HS        	L         	8.6 	 -0.93	      0.23	HS           	    4.58	H         	                                                      
BH16      	   0:42:46.10	   41:17:36.2	  0.30	   0.14	        	      	  0.13	18.80	 0.28	 1.806	          	L         	(14)	      	          	             	    4.65	          	very compact cluster                                  
B523-NB18 	   0:42:46.34	   41:18:32.4	  0.48	   0.26	  -210.2	  39.0	  0.13	18.43	     	      	HS        	B         	    	      	          	             	        	          	bulge, vel entered by hand                            
B354-G186 	   0:42:47.64	   42:00:24.7	  7.93	   5.95	  -172.6	  17.0	  0.15	17.81	     	      	HS        	B         	(14)	 -1.65	      0.43	HS           	    5.07	H         	                                                      
B128-G187 	   0:42:47.81	   41:11:13.8	 -0.78	  -0.79	  -378.8	   9.7	  0.24	17.03	 0.04	 5.16 	HS        	L         	13.7	 -0.56	      0.13	HS           	    5.49	B         	bulge,weak_e from chelle, has diff vel                
B129      	   0:42:48.35	   41:25:06.6	  1.69	   1.09	   -42.9	  11.3	  1.24	17.10	 0.06	 7.74 	HS        	L         	8.2 	 -0.82	      0.13	HS           	    6.70	H         	bulge, very red                                       
B130-G188 	   0:42:48.86	   41:29:52.7	  2.55	   1.73	   -22.6	  10.3	  0.42	16.78	 0.11	11.61 	HS        	L         	(14)	 -1.24	      0.13	HS           	    5.81	H         	g                                                     
AU008     	   0:42:48.97	   41:18:11.2	  0.48	   0.12	        	      	  0.13	18.15	 0.30	 2.58 	          	L         	(14)	      	          	             	    4.90	          	bulge                                                 
B262      	   0:42:50.05	   41:19:28.1	  0.74	   0.26	  -378.4	  21.2	  0.06	17.74	 0.11	 3.87 	HS        	L         	(14)	 -1.33	      0.26	HS           	    4.98	H         	bulge                                                 
BH18      	   0:42:50.73	   41:10:33.4	 -0.83	  -0.98	  -517.7	  14.5	  0.21	18.10	 0.09	 3.87 	HS        	L         	10.1	  0.10	      0.27	HS           	    5.02	H         	                                                      
B131-G189 	   0:42:50.81	   41:17:07.3	  0.34	  -0.08	  -467.5	   9.6	  0.18	15.37	 0.03	 5.16 	HS        	L         	10.0	 -0.71	      0.13	HS           	    6.08	H         	bulge                                                 
B132-NB15 	   0:42:51.44	   41:15:40.7	  0.10	  -0.30	    36.2	  18.2	  0.3 	17.78	 0.12	 2.58 	HS        	L         	(14)	 -0.54	      0.29	HS           	    5.26	H         	bulge, weak_e from chelle, diff vel                   
B134-G190 	   0:42:51.65	   41:14:03.6	 -0.18	  -0.53	  -374.7	   7.8	  0.13	16.68	 0.17	 5.16 	HS        	L         	(14)	 -0.94	      0.13	HS           	    5.49	H         	bulge                                                 
B078D     	   0:42:51.91	   41:22:05.2	  1.25	   0.56	   -36.4	  14.2	  0.49	19.35	 0.04	 2.58 	HS        	L         	(14)	 -0.36	      0.35	HS           	    4.87	H         	bulge                                                 
B135-G192 	   0:42:51.98	   41:31:08.3	  2.85	   1.80	  -375.0	  13.2	  0.28	15.94	 0.04	 7.74 	HS        	L         	(14)	 -1.82	      0.13	HS           	    5.97	H         	                                                      
B264-NB19 	   0:42:53.19	   41:16:14.4	  0.24	  -0.28	   -49.0	  38.7	  0.21	17.70	 0.10	 3.87 	HS        	L         	(14)	 -2.39	      0.90	HS           	    5.18	H         	bulge                                                 
B136-G194 	   0:42:53.64	   41:19:34.4	  0.85	   0.16	  -627.6	  16.7	  0.12	16.95	 0.07	 5.16 	HS        	L         	(14)	 -1.17	      0.19	HS           	    5.37	H         	bulge                                                 
B137-G195 	   0:42:54.0 	   41:32:14.4	  3.10	   1.88	  -220.5	   9.7	  0.52	17.67	 0.06	 7.74 	HS        	L         	(14)	 -1.47	      0.14	HS           	    5.58	H         	                                                      
HEC7      	   0:42:55.00	   43:57:28.0	 28.89	  21.78	        	      	  0.10	17.10	     	      	          	H         	(14)	 -1.84	          	Lit          	    5.29	          	                                                      
B138      	   0:42:55.62	   41:18:35.1	  0.72	  -0.04	  -347.2	  10.0	  0.22	16.94	 0.09	 3.87 	HS        	L         	7.4 	 -0.04	      0.20	HS           	    5.50	H         	bulge                                                 
AU010     	   0:42:58.13	   41:16:52.7	  0.48	  -0.36	  -307.3	  12.3	  0.22	17.54	 0.03	 3.87 	HS        	L         	6.0 	 -0.50	      0.27	HS           	    5.26	H         	bulge                                                 
NB34-AU015	   0:42:58.45	   41:14:55.4	  0.15	  -0.64	        	      	  0.13	18.73	 0.15	 3.87 	          	L         	    	      	          	             	        	          	                                                      
B140-G196 	   0:42:58.75	   41:08:52.7	 -0.92	  -1.48	  -474.7	  11.3	  0.19	17.84	 0.25	 3.87 	HS        	L         	7.0 	 -0.08	      0.24	HS           	    5.10	H         	bulge                                                 
B087D     	   0:42:58.92	   41:09:08.8	 -0.87	  -1.45	  -661.4	   9.1	  0.14	17.54	 0.06	 5.16 	HS        	L         	(14)	 -1.17	      0.15	HS           	    5.16	H         	bulge                                                 
B141-G197 	   0:42:59.29	   41:32:47.5	  3.33	   1.78	  -173.2	  11.2	  0.32	16.83	 0.08	11.61 	HS        	L         	(14)	 -1.42	      0.12	HS           	    5.67	H         	                                                      
B143-G198 	   0:42:59.66	   41:19:19.3	  0.96	  -0.08	  -144.5	   7.1	  0.34	15.98	 0.04	 7.74 	HS        	L         	12.4	 -0.07	      0.12	HS           	    6.03	H         	bulge                                                 
B144      	   0:42:59.87	   41:16:05.7	  0.39	  -0.53	    -6.4	  11.4	  0.24	16.79	 0.09	 3.87 	HS        	L         	11.7	  0.08	      0.17	HS           	    5.58	H         	bulge                                                 
B090D     	   0:43:01.23	   41:16:10.4	  0.44	  -0.56	    15.2	  12.2	  0.13	17.37	 0.08	 3.87 	HS        	L         	12.4	 -0.29	      0.17	HS           	    5.22	          	bulge, huge CN, cont. shape may be off                
B091D-D058	   0:43:01.44	   41:30:17.5	  2.95	   1.37	  -122.8	   5.6	  0.24	15.44	 0.07	 5.16 	HS        	L         	12.8	 -0.70	      0.11	HS           	    6.12	H         	                                                      
B145      	   0:43:01.59	   41:12:26.9	 -0.21	  -1.08	  -303.0	  16.6	  0.14	18.37	 0.09	 3.87 	HS        	L         	(14)	 -1.21	      0.34	HS           	    4.83	H         	bulge                                                 
B092D     	   0:43:01.70	   41:13:08.9	 -0.08	  -0.99	  -321.0	  11.0	  0.36	18.92	 0.24	 3.87 	HS        	L         	(14)	  0.40	      0.45	HS           	    4.88	H         	bulge                                                 
B265      	   0:43:01.92	   40:53:01.8	 -3.64	  -3.76	  -490.9	   8.7	  0.16	18.42	 0.06	 5.16 	HS        	L         	13.7	 -0.78	      0.21	HS           	    4.83	H         	                                                      
B146      	   0:43:02.94	   41:15:22.6	  0.34	  -0.73	   -14.6	  11.4	  0.18	16.99	 0.06	 3.87 	HS        	L         	(14)	 -1.01	      0.18	HS           	    5.43	H         	bulge                                                 
B147-G199 	   0:43:03.30	   41:21:21.5	  1.41	   0.08	   -85.3	  10.8	  0.13	15.71	 0.13	11.61 	HS        	L         	(14)	 -0.09	      0.12	HS           	    5.88	          	bulge, cont. shape may be off                         
B266      	   0:43:03.52	   41:40:31.2	  4.81	   2.70	  -160.6	   7.5	  0.52	18.27	 0.07	 7.74 	HS        	L         	(14)	 -1.04	      0.18	HS           	    5.34	H         	red                                                   
B148-G200 	   0:43:03.87	   41:18:04.8	  0.85	  -0.39	  -333.6	   8.3	  0.28	15.77	 0.05	 5.16 	HS        	L         	(14)	 -1.09	      0.11	HS           	    6.04	H         	bulge                                                 
B149-G201 	   0:43:05.48	   41:34:27.3	  3.79	   1.81	   -58.0	   8.5	  0.37	17.03	 0.13	11.61 	HS        	L         	(14)	 -1.32	      0.12	HS           	    5.65	H         	                                                      
B467-G202 	   0:43:06.45	   42:01:49.1	  8.66	   5.53	  -282.4	  17.3	  0.09	17.43	     	      	HS        	B         	(14)	 -1.43	      0.16	HS           	    5.14	H         	                                                      
B268      	   0:43:07.19	   41:11:47.8	 -0.18	  -1.36	  -233.0	  13.5	  0.29	18.33	 0.07	 3.87 	HS        	L         	7.6 	 -0.19	      0.28	HS           	    5.03	H         	bulge                                                 
B269      	   0:43:07.38	   41:27:32.9	  2.61	   0.79	  -320.3	   9.5	  0.51	18.83	 0.16	 5.16 	HS        	L         	9.7 	 -0.78	      0.17	HS           	    5.10	H         	weak_e                                                
B150-G203 	   0:43:07.52	   41:20:19.6	  1.34	  -0.20	  -138.4	   7.2	  0.19	16.62	 0.04	 7.74 	HS        	L         	12.7	 -0.28	      0.12	HS           	    5.59	H         	bulge                                                 
PHF6-1    	   0:43:08.02	   41:18:18.3	  0.99	  -0.50	  -116.7	  11.3	  0.13	17.67	 0.07	 3.87 	HS        	L         	(14)	 -0.19	      0.18	HS           	    5.10	          	bulge, red, cont. shape may be off                    
B151-G205 	   0:43:09.56	   41:21:32.1	  1.60	  -0.10	  -340.4	   9.4	  0.53	14.77	 0.04	 7.74 	HS        	L         	12.8	 -0.56	      0.12	HS           	    6.75	H         	bulge, red                                            
B152-G207 	   0:43:10.02	   41:18:16.1	  1.04	  -0.57	  -136.1	  11.6	  0.18	16.09	 0.09	 7.74 	HS        	L         	11.2	 -0.72	      0.14	HS           	    5.79	H         	bulge                                                 
B356-G206 	   0:43:10.36	   41:50:31.3	  6.76	   3.85	  -186.2	  16.5	  0.27	16.89	 0.10	11.61 	HS        	L         	(14)	 -1.41	      0.13	HS           	    5.58	H         	                                                      
B153      	   0:43:10.63	   41:14:51.4	  0.45	  -1.06	  -248.9	  10.0	  0.21	16.13	 0.05	 5.16 	HS        	L         	11.8	 -0.28	      0.13	HS           	    5.81	H         	bulge                                                 
B154-G208 	   0:43:12.46	   41:16:04.9	  0.71	  -0.95	  -209.0	  10.6	  0.17	16.70	 0.08	 5.16 	HS        	L         	11.7	 -0.17	      0.18	HS           	    5.53	H         	bulge                                                 
